,zipcode,city,state,median_listing_price
1999,75063, IRVING ,TX ,269900
2000,07024, Fort Lee ,NJ ,160000
2001,07041, Millburn ,NJ ,999000
2002,08226, Ocean City ,NJ ,689000
2003,08846, Middlesex ,NJ ,289000
2004,07620, Alpine ,NJ ,15088000
2005,07013, Clifton ,NJ ,360000
2006,07724, Eatontown ,NJ ,309000
2007,07740, Long Branch ,NJ ,145000
2008,08053, MARLTON ,NJ ,293900
2009,07003, BLOOMFIELD ,NJ ,347000
2010,07748, Middletown ,NJ ,950000
2011,07719, WALL TOWNSHIP ,NJ ,599000
2012,08816, EAST BRUNSWICK ,NJ ,349999
2013,08723, BRICK ,NJ ,275000
2014,07305, Jersey City ,NJ ,295000
2015,07417, FRANKLIN LAKES ,NJ ,3950000
2016,07620, Alpine ,NJ ,18500000
2017,07013, Clifton ,NJ ,665000
2018,07079, South Orange ,NJ ,419000
2019,08107, Haddon Township ,NJ ,219999
2020,07731, HOWELL ,NJ ,199500
2021,07024, Fort Lee ,NJ ,53000
2022,08753, TOMS RIVER ,NJ ,150000
2023,07442, POMPTON LAKES ,NJ ,369000
2024,08540, Princeton ,NJ ,999900
2025,38544, Baxter ,TN ,296000
2026,37069, FRANKLIN ,TN ,7995000
2027,38488, Taft ,TN ,139900
2028,37174, Spring Hill ,TN ,269900
2029,37128, Murfreesboro ,TN ,219950
2030,37189, Whites Creek ,TN ,699900
2031,37013, ANTIOCH ,TN ,285000
2032,37415, CHATTANOOGA ,TN ,229900
2033,37064, FRANKLIN ,TN ,675000
2034,37211, NASHVILLE ,TN ,336000
2035,37650, Erwin ,TN ,52000
2036,37042, CLARKSVILLE ,TN ,112000
2037,37217, NASHVILLE ,TN ,229900
2038,37013, ANTIOCH ,TN ,159900
2039,37208, Nashville ,TN ,399000
2040,37027, BRENTWOOD ,TN ,632500
2041,37871, Strawberry Plains ,TN ,439900
2042,37863, Pigeon Forge ,TN ,345000
2043,37421, CHATTANOOGA ,TN ,249500
2044,37043, Clarksville ,TN ,575000
2045,37166, Smithville ,TN ,149900
2046,38506, Cookeville ,TN ,207429
2047,37064, Franklin ,TN ,549900
2048,37072, Goodlettsville ,TN ,399900
2049,37379, SODDY DAISY ,TN ,135000
2050,90068, LOS ANGELES ,CA ,829000
2051,94110, SAN FRANCISCO ,CA ,1195000
2052,92064, POWAY ,CA ,599900
2053,94027, Atherton ,CA ,24900000
2054,92701, SANTA ANA ,CA ,498000
2055,90069, Los Angeles ,CA ,6995000
2056,94015, Daly City ,CA ,788000
2057,90603, WHITTIER ,CA ,499888
2058,92585, Menifee ,CA ,300000
2059,92101, SAN DIEGO ,CA ,400000
2060,90011, Los Angeles ,CA ,190000
2061,92037, LA JOLLA ,CA ,12999900
2062,93110, SANTA BARBARA ,CA ,21500000
2063,94608, Oakland ,CA ,629000
2064,90241, DOWNEY ,CA ,600000
2065,91436, ENCINO ,CA ,7999000
2066,90265, MALIBU ,CA ,17995000
2067,94109, SAN FRANCISCO ,CA ,14400000
2068,91351, Canyon Country ,CA ,135000
2069,91403, SHERMAN OAKS ,CA ,799000
2070,90210, BEVERLY HILLS ,CA ,26500000
2071,90402, SANTA MONICA ,CA ,21875000
2072,94110, SAN FRANCISCO ,CA ,795000
2073,90027, LOS ANGELES ,CA ,995000
2074,90069, Los Angeles ,CA ,26995000
2075,84095, South Jordan ,UT ,565000
2076,84790, St George ,UT ,399900
2077,84010, BOUNTIFUL ,UT ,225000
2078,84101, Salt Lake City ,UT ,439000
2079,84070, Sandy ,UT ,259900
2080,84770, St George ,UT ,40000
2081,84103, Salt Lake City ,UT ,364900
2082,84103, SALT LAKE CITY ,UT ,410000
2083,84088, WEST JORDAN ,UT ,275000
2084,84770, St George ,UT ,269900
2085,84606, Provo ,UT ,299900
2086,84105, SALT LAKE CITY ,UT ,699900
2087,84779, Virgin ,UT ,159900
2088,84009, SOUTH JORDAN ,UT ,235000
2089,84105, SALT LAKE CITY ,UT ,345000
2090,84020, Draper ,UT ,399000
2091,84780, Washington ,UT ,289500
2092,84102, SALT LAKE CITY ,UT ,875000
2093,84010, BOUNTIFUL ,UT ,274900
2094,84106, Salt Lake City ,UT ,369000
2095,84403, OGDEN ,UT ,175000
2096,84060, Park City ,UT ,10900000
2097,84770, St George ,UT ,785000
2098,84010, Bountiful ,UT ,399000
2099,84103, SALT LAKE CITY ,UT ,599000
2100,78256, SAN ANTONIO ,TX ,349900
2101,78247, SAN ANTONIO ,TX ,165000
2102,78217, SAN ANTONIO ,TX ,140000
2103,78244, SAN ANTONIO ,TX ,149900
2104,75093, PLANO ,TX ,279900
2105,75212, Dallas ,TX ,198750
2106,75040, GARLAND ,TX ,229000
2107,77041, HOUSTON ,TX ,109900
2108,75067, LEWISVILLE ,TX ,190000
2109,77090, HOUSTON ,TX ,269500
2110,77069, HOUSTON ,TX ,220000
2111,76133, Fort Worth ,TX ,220000
2112,76017, Arlington ,TX ,299000
2114,76021, Bedford ,TX ,375000
2115,75035, FRISCO ,TX ,360000
2116,78202, SAN ANTONIO ,TX ,135000
2117,78213, SAN ANTONIO ,TX ,185000
2118,79938, EL PASO ,TX ,134900
2119,78733, AUSTIN ,TX ,5700000
2120,75068, Little Elm ,TX ,150000
2121,76014, Arlington ,TX ,152000
2122,75243, DALLAS ,TX ,539000
2123,76707, WACO ,TX ,239700
2124,78752, Austin ,TX ,374000
2125,07080, South Plainfield ,NJ ,399750
2126,07733, HOLMDEL ,NJ ,689000
2127,07044, Verona ,NJ ,479000
2128,08003, Cherry Hill ,NJ ,149900
2129,08002, Cherry Hill ,NJ ,185000
2130,08854, Piscataway ,NJ ,320000
2131,07450, Ridgewood ,NJ ,749000
2132,07746, Marlboro ,NJ ,669000
2133,07028, Glen Ridge ,NJ ,519000
2134,08721, BAYVILLE ,NJ ,209000
2135,08817, EDISON ,NJ ,344000
2136,07058, Pine Brook ,NJ ,469900
2137,07876, SUCCASUNNA ,NJ ,359000
2138,07730, Hazlet ,NJ ,449000
2139,07866, Rockaway ,NJ ,450000
2140,08817, Edison ,NJ ,369000
2141,07029, HARRISON ,NJ ,398000
2142,07095, Woodbridge ,NJ ,435000
2143,07828, BUDD LAKE ,NJ ,189990
2144,08081, Sicklerville ,NJ ,189000
2145,07675, WESTWOOD ,NJ ,399900
2146,08081, Sicklerville ,NJ ,189900
2147,07739, Little Silver ,NJ ,989900
2148,07450, Ridgewood ,NJ ,649000
2149,07083, UNION ,NJ ,300000
2150,37069, FRANKLIN ,TN ,368500
2151,37415, CHATTANOOGA ,TN ,115900
2152,37814, Morristown ,TN ,299900
2153,38315, BETHEL SPRINGS ,TN ,125000
2154,37920, Knoxville ,TN ,350000
2155,38104, MEMPHIS ,TN ,299000
2156,37813, Morristown ,TN ,199900
2157,37917, KNOXVILLE ,TN ,169900
2158,37686, Piney flats ,TN ,7500000
2159,37042, CLARKSVILLE ,TN ,234900
2160,37208, Nashville ,TN ,439900
2161,37055, Dickson ,TN ,234900
2162,37343, HIXSON ,TN ,249900
2163,38103, MEMPHIS ,TN ,2000000
2164,37215, NASHVILLE ,TN ,2250000
2165,38478, Pulaski ,TN ,264900
2166,37727, Del Rio ,TN ,109000
2167,37208, NASHVILLE ,TN ,389000
2168,37421, CHATTANOOGA ,TN ,304
2169,37803, Maryville ,TN ,229900
2170,37914, KNOXVILLE ,TN ,299000
2171,37027, BRENTWOOD ,TN ,495828
2172,37919, Knoxville ,TN ,3949000
2173,37857, Rogersville ,TN ,115000
2174,37923, KNOXVILLE ,TN ,314900
2175,92507, RIVERSIDE ,CA ,445000
2176,90046, LOS ANGELES ,CA ,799000
2177,94507, ALAMO ,CA ,39000000
2178,90068, LOS ANGELES ,CA ,1995000
2179,92595, WILDOMAR ,CA ,385000
2180,92109, San Diego ,CA ,795000
2181,93428, CAMBRIA ,CA ,60000000
2182,94530, EL CERRITO ,CA ,549000
2183,94605, OAKLAND ,CA ,395000
2184,93108, SANTA BARBARA ,CA ,36890000
2185,90210, Beverly Hills ,CA ,34800000
2186,92833, FULLERTON ,CA ,549900
2187,94973, Woodacre ,CA ,499000
2188,92392, VICTORVILLE ,CA ,193900
2189,90011, Los Angeles ,CA ,315000
2190,94703, BERKELEY ,CA ,875000
2191,90631, LA HABRA ,CA ,370000
2192,90077, LOS ANGELES ,CA ,8450000
2193,91302, Calabasas ,CA ,349000
2194,90046, LOS ANGELES ,CA ,5250000
2195,90027, Los Angeles ,CA ,10498000
2196,90210, BEVERLY HILLS ,CA ,24500000
2197,92114, SAN DIEGO ,CA ,460000
2198,94601, OAKLAND ,CA ,499000
2199,90068, LOS ANGELES ,CA ,799000
2200,84108, Salt Lake City ,UT ,273400
2201,84043, Lehi ,UT ,325000
2202,84092, SANDY ,UT ,744500
2203,84098, Park City ,UT ,1099900
2204,84037, Kaysville ,UT ,485300
2205,84040, LAYTON ,UT ,359900
2206,84093, SANDY ,UT ,374900
2207,84401, OGDEN ,UT ,259500
2208,84321, Logan ,UT ,269000
2209,84003, Highland ,UT ,669900
2210,84003, Highland ,UT ,446900
2211,84780, Washington ,UT ,399900
2212,84121, Cottonwood Heights ,UT ,226000
2213,84041, LAYTON ,UT ,219900
2214,84790, Saint George ,UT ,399000
2215,84115, SALT LAKE CITY ,UT ,399900
2216,84009, South Jordan ,UT ,230000
2217,84009, SOUTH JORDAN ,UT ,190000
2218,84057, Orem ,UT ,310000
2219,84124, SALT LAKE CITY ,UT ,399000
2220,84070, SANDY ,UT ,290000
2221,84098, Park City ,UT ,1100000
2222,84109, SALT LAKE CITY ,UT ,2699900
2223,84010, BOUNTIFUL ,UT ,298900
2224,84770, St George ,UT ,264900
2225,75081, Richardson ,TX ,160000
2226,75007, CARROLLTON ,TX ,245000
2227,75220, Dallas ,TX ,6945000
2228,78254, San Antonio ,TX ,62459
2229,78550, Harlingen ,TX ,229950
2230,75212, Dallas ,TX ,292000
2231,76707, Waco ,TX ,115000
2232,75778, Murchison ,TX ,130000
2233,77071, Houston ,TX ,158995
2234,77019, HOUSTON ,TX ,17500000
2235,78748, Austin ,TX ,314432
2236,78238, SAN ANTONIO ,TX ,79000
2237,78613, Cedar Park ,TX ,225000
2238,78070, SPRING BRANCH ,TX ,369999
2239,77382, THE WOODLANDS ,TX ,6700000
2240,75220, DALLAS ,TX ,3149000
2241,76108, Fort worth ,TX ,389999
2242,78747, AUSTIN ,TX ,375000
2243,76140, Fort Worth ,TX ,197000
2244,78724, AUSTIN ,TX ,229900
2245,75205, DALLAS ,TX ,16750000
2246,78216, SAN ANTONIO ,TX ,300000
2247,77090, HOUSTON ,TX ,185000
2248,76707, WACO ,TX ,208400
2249,78258, San Antonio ,TX ,400000
2250,07465, WANAQUE ,NJ ,319000
2251,07981, WHIPPANY ,NJ ,475000
2252,08817, EDISON ,NJ ,310000
2253,08822, Flemington ,NJ ,579900
2254,08053, Marlton ,NJ ,230000
2255,07760, RUMSON ,NJ ,429000
2256,08844, Hillsborough ,NJ ,339000
2257,07675, Westwood ,NJ ,349999
2258,07885, Wharton ,NJ ,300000
2259,07054, PARSIPPANY ,NJ ,599900
2260,07090, Westfield ,NJ ,668000
2261,07840, HACKETTSTOWN ,NJ ,99500
2262,07052, WEST ORANGE ,NJ ,450000
2263,08816, East Brunswick ,NJ ,559900
2264,07853, Long Valley ,NJ ,339900
2265,07430, Mahwah ,NJ ,869900
2266,07853, LONG VALLEY ,NJ ,535000
2267,07002, Bayonne ,NJ ,495000
2268,08742, POINT PLEASANT BEACH ,NJ ,499000
2269,07753, Neptune ,NJ ,299900
2270,07107, Newark ,NJ ,185000
2271,07017, East Orange ,NJ ,249900
2272,07834, Denville ,NJ ,350000
2273,08807, Bridgewater ,NJ ,549000
2274,07043, MONTCLAIR ,NJ ,1199000
2275,37027, BRENTWOOD ,TN ,860000
2276,37753, Hartford ,TN ,120000
2277,37144, Petersburg ,TN ,299000
2278,37876, Sevierville ,TN ,162900
2279,37803, Maryville ,TN ,149900
